Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,At_Risk,source
55.03,84.22,74.06,39.900000000000006,85.9,1,DS1
97.23,74.81,94.24,83.2,55.65,0,DS1
67.05,67.7,85.7,50.5,73.79,0,DS1
47.79,66.06,93.51,65.4,92.12,0,DS1
46.59,96.85,83.7,59.699999999999996,68.42,1,DS1
78.85,71.4,52.2,63.8,67.29,0,DS1
66.26,84.52,98.4,23.0,93.65,1,DS1
45.67,80.12,95.9,37.3,93.24,1,DS1
84.42,57.05,56.33,5.1,94.01,0,DS1
87.96,96.98,55.63,58.8,78.6,0,DS1
83.52,67.29,76.95,45.9,97.62,0,DS1
52.14,52.24,87.85,76.10000000000001,90.95,0,DS1
81.39,65.02,69.11,20.6,70.78,1,DS1
40.64,66.78,56.82,43.7,81.48,0,DS1
58.31,54.64,75.53,18.1,56.09,0,DS1
63.93,81.0,66.88,61.4,77.57,0,DS1
90.11,67.34,67.59,84.80000000000001,63.16,1,DS1
63.42,81.46,82.25,76.5,64.18,1,DS1
40.68,50.34,94.28,94.39999999999999,56.29,0,DS1
61.14,99.1,77.93,97.2,67.91,0,DS1
69.94,74.81,84.38,77.2,74.07,0,DS1
96.94,82.97,83.0,28.700000000000003,80.02,0,DS1
96.46,85.79,77.56,21.9,65.24,0,DS1
50.85,58.58,65.54,44.800000000000004,89.61,0,DS1
51.11,55.59,68.89,99.39999999999999,76.05,0,DS1
49.8,57.63,65.79,41.3,81.9,0,DS1
87.34,62.34,95.87,19.9,63.91,0,DS1
40.36,58.41,91.33,94.39999999999999,90.71,0,DS1
47.63,83.7,78.97,38.6,81.21,0,DS1
72.28,71.04,95.61,69.1,93.12,0,DS1
54.85,76.89,94.32,78.8,58.0,1,DS1
45.54,52.37,96.38,84.3,69.03,0,DS1
61.59,93.06,61.09,82.10000000000001,55.65,0,DS1
56.45,58.53,85.88,83.6,60.78,0,DS1
70.67,68.01,80.46,66.8,69.73,1,DS1
98.75,53.6,86.69,40.4,94.73,0,DS1
47.46,56.84,63.17,66.7,77.85,1,DS1
62.36,83.29,84.74,83.69999999999999,66.52,0,DS1
95.92,84.63,70.49,35.099999999999994,87.34,0,DS1
