student_id,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,assignment_1,assignment_2
S1000,18,17,16,18,17,16,18,17,16,18,38,42
S1001,6,7,8,7,6,7,8,7,6,7,84,88
S1002,15,14,13,12,11,10,9,8,7,6,72,45
S1003,5,6,7,8,9,10,11,12,13,14,44,76
S1004,12,12,12,12,12,12,12,12,12,12,50,50
S1005,19,18,19,18,19,18,19,18,19,18,55,52
S1006,4,4,5,5,6,6,7,7,8,8,68,70
S1007,10,9,11,10,9,11,10,9,11,10,40,85
S1008,14,15,14,15,14,15,14,15,14,15,35,37
S1009,3,5,4,6,5,7,6,8,7,9,78,74
S1010,16,16,15,15,14,14,13,13,12,12,47,49
S1011,7,7,8,8,9,9,10,10,11,11,58,60
S1012,18,18,18,18,18,18,18,18,18,18,30,30
S1013,2,3,4,5,6,7,8,9,10,11,80,85
S1014,9,10,11,12,13,14,15,16,17,18,40,45
S1015,11,10,9,8,7,6,5,4,3,2,75,70
S1016,6,7,8,9,10,11,12,13,14,15,50,55
S1017,15,14,13,12,11,10,9,8,7,6,60,40
S1018,5,5,6,6,7,7,8,8,9,9,55,60
S1019,10,10,10,10,10,10,10,10,10,10,45,45
