student_id,quiz_1,quiz_2,quiz_3,quiz_4,quiz_5,quiz_6,quiz_7,quiz_8,quiz_9,quiz_10,assignment_1,assignment_2
S1000,18,15,12,9,7,5,4,3,2,2,32,28
S1001,16,13,10,8,6,4,3,2,2,1,38,
S1002,15,12,9,7,5,4,3,2,1,1,29,25
S1003,14,11,9,7,5,4,3,2,2,1,35,30
S1004,17,13,10,8,6,5,4,3,2,1,,
S1005,13,10,8,6,5,4,3,2,1,1,40,35
S1006,11,10,11,10,11,10,11,10,10,11,52,48
S1007,12,11,12,11,10,11,10,11,10,10,55,50
S1008,10,11,10,12,11,10,12,11,10,11,48,53
S1009,13,12,11,12,11,10,11,10,10,11,58,52
S1010,11,11,10,12,10,11,10,11,11,10,50,
S1011,10,11,11,10,12,11,10,11,10,12,55,50
S1012,12,11,10,11,10,12,11,10,12,11,53,49
S1013,12,14,15,16,17,17,18,18,19,19,75,80
S1014,15,16,16,17,17,18,18,19,19,20,82,85
S1015,16,17,17,18,18,19,18,19,19,20,88,90
S1016,14,15,16,16,17,17,18,18,19,19,78,82
S1017,15,16,17,17,18,18,19,18,19,20,84,87
S1018,17,17,18,18,19,18,19,19,20,19,90,92
S1019,16,16,17,17,18,18,19,19,20,20,86,88
