student_id,quiz_1,quiz_2,quiz_3,quiz_4,quiz_5,quiz_6,quiz_7,quiz_8,quiz_9,quiz_10,assignment_1,assignment_2
S1000,13,14,13,14,14,14,15,16,15,16,74,81
S1001,14,14,15,15,16,16,16,16,17,18,80,79
S1002,15,14,14,16,15,16,17,17,16,18,89,78
S1003,16,17,17,17,17,17,18,19,18,19,75,87
S1004,16,16,15,17,17,16,18,17,17,18,77,89
S1005,17,16,17,17,17,17,19,19,19,19,78,93
S1006,15,16,16,17,16,17,17,17,18,19,90,87
S1007,15,15,16,16,16,16,17,17,18,18,84,87
S1008,17,16,16,18,18,17,19,19,18,20,72,83
S1009,14,15,14,15,16,15,16,17,17,17,75,86
S1010,15,15,15,16,16,17,17,17,17,19,89,80
S1011,16,15,15,17,17,17,18,18,17,18,79,77
S1012,15,15,15,16,16,16,17,17,17,19,74,91
S1013,15,15,14,15,16,15,17,17,16,17,75,88
S1014,16,16,16,16,16,16,18,18,17,18,78,81
S1015,16,17,16,18,18,17,18,19,18,19,92,92
S1016,13,13,13,15,15,15,15,16,15,16,84,75
S1017,17,17,17,18,18,17,18,19,18,19,90,92
S1018,14,13,13,15,14,14,15,15,15,16,93,82
S1019,16,16,16,17,18,18,19,18,19,19,80,87
