student_id,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,assignment_1,assignment_2
S1000,18,17,19,18,16,17,18,19,18,17,86,88
S1001,15,16,17,16,15,16,17,18,17,16,78,82
S1002,20,19,18,18,19,20,19,18,19,20,90,92
S1003,14,15,16,15,16,17,16,15,16,17,74,77
S1004,17,16,15,17,18,16,17,18,19,18,80,84
S1005,11,10,12,9,11,10,12,11,10,12,58,62
S1006,8,9,10,11,12,11,10,9,10,11,65,68
S1007,13,12,11,10,9,10,11,12,13,12,55,57
S1008,10,11,9,10,11,9,10,11,10,9,60,54
S1009,7,8,9,10,10,11,11,12,12,13,59,63
S1010,12,12,12,12,10,10,10,10,11,11,52,58
S1011,9,9,8,10,9,8,10,9,8,10,67,61
S1012,5,6,4,5,6,5,4,5,6,4,35,40
S1013,2,4,3,5,4,3,2,4,3,2,28,30
S1014,7,6,5,4,4,5,6,5,4,3,42,38
S1015,8,7,6,5,4,3,2,3,4,5,45,32
S1016,4,5,6,4,5,6,4,5,6,4,48,44
S1017,0,3,2,4,1,3,2,1,4,2,22,25
S1018,6,7,5,6,5,6,7,5,6,5,40,42
S1019,3,2,4,3,2,4,3,2,4,3,30,35
