student_id,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,assignment_1,assignment_2
S1000,5,6,7,8,10,12,14,15,16,18,65,72
S1001,6,7,8,9,11,13,14,16,17,19,70,75
S1002,18,17,16,15,14,13,12,11,10,9,60,55
S1003,17,16,15,14,13,12,11,10,9,8,58,52
S1004,10,10,10,10,10,10,10,10,10,10,55,55
S1005,12,11,12,11,12,11,12,11,12,11,58,60
S1006,15,14,16,15,14,16,15,14,16,15,0,72
S1007,8,9,10,11,12,13,14,15,16,17,68,0
S1008,0,0,5,6,0,7,8,0,9,10,40,45
S1009,10,0,11,0,12,0,13,0,14,0,50,52
S1010,18,18,19,19,18,18,19,19,18,18,85,88
S1011,16,17,16,17,16,17,16,17,16,17,80,82
S1012,6,5,4,3,2,3,4,3,2,1,30,28
S1013,7,6,5,4,3,2,3,2,1,0,25,20
S1014,10,12,11,13,12,14,13,15,14,16,65,68
S1015,14,13,12,11,10,9,8,7,6,5,60,50
S1016,9,10,9,10,9,10,9,10,9,10,52,53
S1017,11,10,11,10,11,10,11,10,11,10,55,54
S1018,4,6,8,10,12,14,16,18,19,20,70,78
S1019,19,17,15,13,11,9,7,5,3,2,55,45
